psi1= 363.9465603322478	psi2= 386.3393028469002	psi3= 404.144183068755	psi4= 386.60715731032894	psi5= 436.42485927784406	psi6= 428.4988118162587	psi7= 404.21561022297203	psi8= 428.5166684498074	psi9= 414.688432939535	
psi1= 364.9465603322478	psi2= 387.3393028469002	psi3= 405.144183068755	psi4= 387.60715731032894	psi5= 437.42485927784406	psi6= 429.4988118162587	psi7= 405.21561022297203	psi8= 429.5166684498074	psi9= 415.688432939535	
psi1= 365.9465603322478	psi2= 388.3393028469002	psi3= 406.144183068755	psi4= 388.60715731032894	psi5= 438.42485927784406	psi6= 430.4988118162587	psi7= 406.21561022297203	psi8= 430.5166684498074	psi9= 416.688432939535	
psi1= 366.9465603322478	psi2= 389.3393028469002	psi3= 407.144183068755	psi4= 389.60715731032894	psi5= 439.42485927784406	psi6= 431.4988118162587	psi7= 407.21561022297203	psi8= 431.5166684498074	psi9= 417.688432939535	
psi1= 367.9465603322478	psi2= 390.3393028469002	psi3= 408.144183068755	psi4= 390.60715731032894	psi5= 440.42485927784406	psi6= 432.4988118162587	psi7= 408.21561022297203	psi8= 432.5166684498074	psi9= 418.688432939535	
psi1= 368.9465603322478	psi2= 391.3393028469002	psi3= 409.144183068755	psi4= 391.60715731032894	psi5= 441.42485927784406	psi6= 433.4988118162587	psi7= 409.21561022297203	psi8= 433.5166684498074	psi9= 419.688432939535	
psi1= 369.9465603322478	psi2= 392.3393028469002	psi3= 410.144183068755	psi4= 392.60715731032894	psi5= 442.42485927784406	psi6= 434.4988118162587	psi7= 410.21561022297203	psi8= 434.5166684498074	psi9= 420.688432939535	
psi1= 370.9465603322478	psi2= 393.3393028469002	psi3= 411.144183068755	psi4= 393.60715731032894	psi5= 443.42485927784406	psi6= 435.4988118162587	psi7= 411.21561022297203	psi8= 435.5166684498074	psi9= 421.688432939535	
psi1= 371.9465603322478	psi2= 394.3393028469002	psi3= 412.144183068755	psi4= 394.60715731032894	psi5= 444.42485927784406	psi6= 436.4988118162587	psi7= 412.21561022297203	psi8= 436.5166684498074	psi9= 422.688432939535	
psi1= 372.9465603322478	psi2= 395.3393028469002	psi3= 413.144183068755	psi4= 395.60715731032894	psi5= 445.42485927784406	psi6= 437.4988118162587	psi7= 413.21561022297203	psi8= 437.5166684498074	psi9= 423.688432939535	
psi1= 373.9465603322478	psi2= 396.3393028469002	psi3= 414.144183068755	psi4= 396.60715731032894	psi5= 446.42485927784406	psi6= 438.4988118162587	psi7= 414.21561022297203	psi8= 438.5166684498074	psi9= 424.688432939535	
psi1= 374.9465603322478	psi2= 397.3393028469002	psi3= 415.144183068755	psi4= 397.60715731032894	psi5= 447.42485927784406	psi6= 439.4988118162587	psi7= 415.21561022297203	psi8= 439.5166684498074	psi9= 425.688432939535	
psi1= 375.9465603322478	psi2= 398.3393028469002	psi3= 416.144183068755	psi4= 398.60715731032894	psi5= 448.42485927784406	psi6= 440.4988118162587	psi7= 416.21561022297203	psi8= 440.5166684498074	psi9= 426.688432939535	
psi1= 376.9465603322478	psi2= 399.3393028469002	psi3= 417.144183068755	psi4= 399.60715731032894	psi5= 449.42485927784406	psi6= 441.4988118162587	psi7= 417.21561022297203	psi8= 441.5166684498074	psi9= 427.688432939535	
psi1= 377.9465603322478	psi2= 400.3393028469002	psi3= 418.144183068755	psi4= 400.60715731032894	psi5= 450.42485927784406	psi6= 442.4988118162587	psi7= 418.21561022297203	psi8= 442.5166684498074	psi9= 428.688432939535	
psi1= 378.9465603322478	psi2= 401.3393028469002	psi3= 419.144183068755	psi4= 401.60715731032894	psi5= 451.42485927784406	psi6= 443.4988118162587	psi7= 419.21561022297203	psi8= 443.5166684498074	psi9= 429.688432939535	
psi1= 379.9465603322478	psi2= 402.3393028469002	psi3= 420.144183068755	psi4= 402.60715731032894	psi5= 452.42485927784406	psi6= 444.4988118162587	psi7= 420.21561022297203	psi8= 444.5166684498074	psi9= 430.688432939535	
psi1= 380.9465603322478	psi2= 403.3393028469002	psi3= 421.144183068755	psi4= 403.60715731032894	psi5= 453.42485927784406	psi6= 445.4988118162587	psi7= 421.21561022297203	psi8= 445.5166684498074	psi9= 431.688432939535	
psi1= 381.9465603322478	psi2= 404.3393028469002	psi3= 422.144183068755	psi4= 404.60715731032894	psi5= 454.42485927784406	psi6= 446.4988118162587	psi7= 422.21561022297203	psi8= 446.5166684498074	psi9= 432.688432939535	
psi1= 382.9465603322478	psi2= 405.3393028469002	psi3= 423.144183068755	psi4= 405.60715731032894	psi5= 455.42485927784406	psi6= 447.4988118162587	psi7= 423.21561022297203	psi8= 447.5166684498074	psi9= 433.688432939535	
psi1= 383.9465603322478	psi2= 406.3393028469002	psi3= 424.144183068755	psi4= 406.60715731032894	psi5= 456.42485927784406	psi6= 448.4988118162587	psi7= 424.21561022297203	psi8= 448.5166684498074	psi9= 434.688432939535	
psi1= 384.9465603322478	psi2= 407.3393028469002	psi3= 425.144183068755	psi4= 407.60715731032894	psi5= 457.42485927784406	psi6= 449.4988118162587	psi7= 425.21561022297203	psi8= 449.5166684498074	psi9= 435.688432939535	
psi1= 385.9465603322478	psi2= 408.3393028469002	psi3= 426.144183068755	psi4= 408.60715731032894	psi5= 458.42485927784406	psi6= 450.4988118162587	psi7= 426.21561022297203	psi8= 450.5166684498074	psi9= 436.688432939535	
