RC circuit simulation with RK34_adaptive :************************************************
t= 0.0	v1= 2.5	v2= 2.5
t= 43.60000000000002	v1= 0.49190193051660486	v2= 4.8364311258159445
t= 43.80000000000002	v1= 0.5019631576532622	v2= 4.83967007283957
t= 44.00000000000002	v1= 0.5118251549609254	v2= 4.842844882556709
t= 44.200000000000024	v1= 0.5214918675373665	v2= 4.845956824859213
t= 44.40000000000003	v1= 0.5309671623605475	v2= 4.849007144459591
t= 44.60000000000003	v1= 0.5402548298355283	v2= 4.851997061382716
t= 44.80000000000003	v1= 0.5493585853107439	v2= 4.85492777144662
t= 45.000000000000036	v1= 0.5582820705642563	v2= 4.8578004467324645
t= 45.20000000000003	v1= 0.567028855260576	v2= 4.860616236043714
t= 45.400000000000034	v1= 0.5756024383786363	v2= 4.863376265354595
t= 45.60000000000004	v1= 0.5840062496114905	v2= 4.866081638247863
t= 45.80000000000004	v1= 0.592243650738293	v2= 4.868733436341922
t= 46.00000000000004	v1= 0.6003179369691134	v2= 4.871332719707334
t= 46.200000000000045	v1= 0.6082323382631197	v2= 4.873880527272742
t= 46.40000000000005	v1= 0.6159900206206605	v2= 4.876377877220253
t= 46.600000000000044	v1= 0.6235940873497605	v2= 4.8788257673703255
t= 46.80000000000005	v1= 0.631047580307538	v2= 4.881225175556196
t= 47.00000000000005	v1= 0.6383534811170402	v2= 4.883577059987915
t= 47.20000000000005	v1= 0.6455147123599819	v2= 4.885882359606079
t= 47.400000000000055	v1= 0.652534138745868	v2= 4.888141994425335
t= 47.60000000000006	v1= 0.659414568257963	v2= 4.890356865867799
t= 47.800000000000054	v1= 0.6661587532765701	v2= 4.892527857086514
t= 48.00000000000006	v1= 0.6727693916800664	v2= 4.89465583327913
t= 48.20000000000006	v1= 0.6792491279241362	v2= 4.896741641992025
t= 48.40000000000006	v1= 0.6856005540996328	v2= 4.8987861134150865
t= 48.600000000000065	v1= 0.6918262109694946	v2= 4.900790060667453
t= 48.80000000000007	v1= 0.697928588985126	v2= 4.902754280074527
t= 49.00000000000007	v1= 0.7039101292826542	v2= 4.904679551436617
t= 49.20000000000007	v1= 0.7097732246594574	v2= 4.906566638289617
t= 49.40000000000007	v1= 0.7155202205313561	v2= 4.908416288158157
t= 49.60000000000007	v1= 0.721153415870851	v2= 4.910229232801707
t= 49.800000000000075	v1= 0.7266750641267811	v2= 4.912006188454164
t= 50.00000000000008	v1= 0.7320873741257714	v2= 4.91374785605746
t= 50.20000000000008	v1= 0.7354099359558302	v2= 4.915454985743918
t= 50.400000000000084	v1= 0.7347063567720897	v2= 4.917128367357466
t= 50.60000000000008	v1= 0.7300563611821741	v2= 4.918768733998341
t= 50.80000000000008	v1= 0.7215380951075561	v2= 4.920376771399476
t= 51.000000000000085	v1= 0.7092281570442943	v2= 4.921953117700888
t= 51.20000000000009	v1= 0.6951842037047536	v2= 4.923498359051873
t= 51.40000000000009	v1= 0.6814183451129245	v2= 4.925013070062161
t= 51.600000000000094	v1= 0.6679250745082222	v2= 4.926497833726996
t= 51.8000000000001	v1= 0.6546989941735171	v2= 4.927953228529773
t= 52.00000000000009	v1= 0.6417348132758841	v2= 4.929379826175132
t= 52.200000000000095	v1= 0.6290273457501094	v2= 4.9307781901752366
t= 52.4000000000001	v1= 0.6165715082241073	v2= 4.932148874989293
t= 52.6000000000001	v1= 0.604362317985417	v2= 4.933492425523176
t= 52.800000000000104	v1= 0.5923948909879666	v2= 4.93480937686429
t= 53.00000000000011	v1= 0.5806644398983073	v2= 4.936100254170491
t= 53.2000000000001	v1= 0.5691662721805343	v2= 4.937365572660044
t= 53.400000000000105	v1= 0.5578957882191304	v2= 4.938605837667816
t= 53.60000000000011	v1= 0.5468484794789806	v2= 4.93982154474472
t= 53.80000000000011	v1= 0.5360199267018213	v2= 4.941013179785168
t= 54.000000000000114	v1= 0.5254057981384029	v2= 4.942181219172386
t= 54.20000000000012	v1= 0.5150018478156593	v2= 4.943326129934773
t= 54.40000000000012	v1= 0.5048039138381895	v2= 4.944448369908753
t= 54.600000000000115	v1= 0.49480791672337343	v2= 4.945548387905009
t= 54.80000000000012	v1= 0.48500985776945577	v2= 4.94662662387604
t= 55.00000000000012	v1= 0.4754058174559434	v2= 4.947683509083605
t= 55.200000000000124	v1= 0.4659919538756788	v2= 4.948719466265124
t= 55.40000000000013	v1= 0.45676450119796075	v2= 4.949734909798371
t= 55.60000000000013	v1= 0.4477197681620978	v2= 4.950730245864045
t= 55.80000000000013	v1= 0.43885413660079226	v2= 4.951705872605929
t= 56.00000000000013	v1= 0.4301640599927635	v2= 4.952662180288463
t= 56.20000000000013	v1= 0.42164606204403227	v2= 4.9535995514516085
t= 56.400000000000134	v1= 0.4132967352972973	v2= 4.954518361062951
t= 56.600000000000136	v1= 0.4051127397688496	v2= 4.95541897666702
t= 56.80000000000014	v1= 0.39709080161247734	v2= 4.956301758531802
t= 57.00000000000014	v1= 0.38922771180982846	v2= 4.957167059792479
t= 57.200000000000145	v1= 0.381520324886706	v2= 4.958015226592405
t= 57.40000000000014	v1= 0.3739655576547831	v2= 4.958846598221355
t= 57.60000000000014	v1= 0.3665603879782342	v2= 4.9596615072510915
t= 57.800000000000146	v1= 0.3593018535647891	v2= 4.960460279668268
t= 58.00000000000015	v1= 0.35218705078072643	v2= 4.9612432350047495
t= 58.20000000000015	v1= 0.3452131334893321	v2= 4.96201068646535
t= 58.400000000000155	v1= 0.3383773119123582	v2= 4.962762941053073
t= 58.60000000000015	v1= 0.3316768515140275	v2= 4.963500299691879
t= 58.80000000000015	v1= 0.32510907190713595	v2= 4.964223057347025
t= 59.000000000000156	v1= 0.31867134578081685	v2= 4.964931503143037
t= 59.20000000000016	v1= 0.31236109784953664	v2= 4.965625920479345
t= 59.40000000000016	v1= 0.3061758038229028	v2= 4.966306587143636
t= 59.600000000000165	v1= 0.30011298939587117	v2= 4.966973775422965
t= 59.80000000000017	v1= 0.29417022925894887	v2= 4.9676277522126675
t= 60.00000000000016	v1= 0.2883451461279976	v2= 4.9682687791231155
t= 60.200000000000166	v1= 0.28461798479324935	v2= 4.968897112584071
t= 60.40000000000017	v1= 0.2849249762475078	v2= 4.969513003947372
t= 60.60000000000017	v1= 0.28918623723603937	v2= 4.9701166995877
t= 60.800000000000175	v1= 0.2973234663317508	v2= 4.970708441000809
t= 61.00000000000018	v1= 0.309259912612245	v2= 4.971288464899779
t= 61.20000000000018	v1= 0.3229377699571248	v2= 4.971857003310123
t= 61.400000000000176	v1= 0.3363447818929096	v2= 4.972414283663046
t= 61.60000000000018	v1= 0.3494863116306476	v2= 4.972960528885243
t= 61.80000000000018	v1= 0.36236761618046276	v2= 4.973495957488183
t= 62.000000000000185	v1= 0.3749938484545184	v2= 4.974020783655249
t= 62.20000000000019	v1= 0.387370059328338	v2= 4.974535217327069
t= 62.40000000000019	v1= 0.39950119966130854	v2= 4.975039464285053
t= 62.60000000000019	v1= 0.4113921222771742	v2= 4.975533726233146
t= 62.80000000000019	v1= 0.4230475839053131	v2= 4.976018200877806
t= 63.00000000000019	v1= 0.43447224708357296	v2= 4.976493082006198
t= 63.200000000000195	v1= 0.4456706820234277	v2= 4.976958559562615
t= 63.4000000000002	v1= 0.4566473684382004	v2= 4.977414819723089
t= 63.6000000000002	v1= 0.46740669733508455	v2= 4.977862044968199
t= 63.8000000000002	v1= 0.47795297277167975	v2= 4.978300414154024
t= 64.0000000000002	v1= 0.48829041357774544	v2= 4.9787301025812205
t= 64.2000000000002	v1= 0.49842315504286044	v2= 4.979151282062175
t= 64.4000000000002	v1= 0.5083552505706641	v2= 4.979564120986174
t= 64.60000000000021	v1= 0.5180906733003409	v2= 4.979968784382533
t= 64.80000000000021	v1= 0.5276333176959959	v2= 4.980365433981611
t= 65.00000000000021	v1= 0.5369870011045591	v2= 4.980754228273631
t= 65.20000000000022	v1= 0.5461554652828394	v2= 4.981135322565211
t= 65.40000000000022	v1= 0.555142377894341	v2= 4.9815088690335125
t= 65.60000000000022	v1= 0.5639513339764395	v2= 4.981875016777901
t= 65.80000000000022	v1= 0.5725858573785065	v2= 4.982233911869005
t= 66.00000000000023	v1= 0.5810494021715557	v2= 4.982585697395058
t= 66.20000000000022	v1= 0.5893453540299756	v2= 4.9829305135054085
t= 66.40000000000022	v1= 0.5974770315859027	v2= 4.9832684974510695
t= 66.60000000000022	v1= 0.6054476877567743	v2= 4.983599783622202
t= 66.80000000000022	v1= 0.6132605110465942	v2= 4.983924503582404
t= 67.00000000000023	v1= 0.6209186268214311	v2= 4.984242786099718
t= 67.20000000000023	v1= 0.6284250985596594	v2= 4.984554757174233
t= 67.40000000000023	v1= 0.6357829290774439	v2= 4.984860540062226
t= 67.60000000000024	v1= 0.6429950617299567	v2= 4.985160255296761
t= 67.80000000000024	v1= 0.6500643815888085	v2= 4.985454020704701
t= 68.00000000000024	v1= 0.6569937165961652	v2= 4.985741951420115
t= 68.20000000000024	v1= 0.66378583869601	v2= 4.98602415989409
t= 68.40000000000025	v1= 0.6704434649430051	v2= 4.986300755900976
t= 68.60000000000025	v1= 0.6769692585893959	v2= 4.986571846541142
t= 68.80000000000024	v1= 0.6833658301503928	v2= 4.986837536240344
t= 69.00000000000024	v1= 0.6896357384484559	v2= 4.987097926745867
t= 69.20000000000024	v1= 0.6957814916369023	v2= 4.98735311711961
t= 69.40000000000025	v1= 0.7018055482032425	v2= 4.987603203728355
t= 69.60000000000025	v1= 0.7077103179526505	v2= 4.987848280231498
t= 69.80000000000025	v1= 0.713498162971959	v2= 4.988088437566547
t= 70.00000000000026	v1= 0.7191713985745646	v2= 4.988323763932753
t= 70.20000000000026	v1= 0.7227497192266212	v2= 4.988554390971176
t= 70.40000000000026	v1= 0.7222968343945434	v2= 4.988780487917237
t= 70.60000000000026	v1= 0.7178925689712924	v2= 4.989002192174099
t= 70.80000000000027	v1= 0.7096151671778542	v2= 4.989219615207262
t= 71.00000000000027	v1= 0.6975413238632994	v2= 4.989432841625894
t= 71.20000000000027	v1= 0.6837287901850492	v2= 4.989641925213241
t= 71.40000000000028	v1= 0.6701897687419683	v2= 4.989846918227274
t= 71.60000000000026	v1= 0.6569188435152054	v2= 4.990047886145333
t= 71.80000000000027	v1= 0.6439107057325195	v2= 4.9902448981566465
t= 72.00000000000027	v1= 0.6311601517446109	v2= 4.990438025427465
t= 72.20000000000027	v1= 0.6186620809435032	v2= 4.990627339965323
t= 72.40000000000028	v1= 0.6064114937221458	v2= 4.990812913874386
t= 72.60000000000028	v1= 0.5944034894744195	v2= 4.99099481886737
t= 72.80000000000028	v1= 0.5826332646347455	v2= 4.991173125946712
t= 73.00000000000028	v1= 0.5710961107565139	v2= 4.991347905197928
t= 73.20000000000029	v1= 0.5597874126285619	v2= 4.991519225657738
t= 73.40000000000029	v1= 0.5487026464289498	v2= 4.9916871552322295
t= 73.60000000000029	v1= 0.5378373779152952	v2= 4.991851760648672
t= 73.8000000000003	v1= 0.5271872606509413	v2= 4.992013107430031
t= 74.0000000000003	v1= 0.516748034266251	v2= 4.992171259884838
t= 74.20000000000029	v1= 0.5065155227543295	v2= 4.992326281107458
t= 74.40000000000029	v1= 0.4964856328004954	v2= 4.9924782329853965
t= 74.60000000000029	v1= 0.48665435214483044	v2= 4.992627176211363
t= 74.8000000000003	v1= 0.4770177479771542	v2= 4.9927731702984985
t= 75.0000000000003	v1= 0.4675719653637807	v2= 4.992916273597709
t= 75.2000000000003	v1= 0.4583132257054282	v2= 4.9930565433163485
t= 75.4000000000003	v1= 0.4492378252256649	v2= 4.993194035537728
t= 75.6000000000003	v1= 0.4403421334892863	v2= 4.993328805241103
t= 75.80000000000031	v1= 0.43162259195003083	v2= 4.993460906321872
t= 76.00000000000031	v1= 0.4230757125270537	v2= 4.993590391611818
t= 76.20000000000032	v1= 0.414698076209589	v2= 4.993717312899277
t= 76.40000000000032	v1= 0.4064863316892413	v2= 4.993841720949133
