RC circuit simulation with RK34_adaptive :************************************************
t= 0.0	v1= 0.0	v2= 0.0
t= 64.80000000000021	v1= 0.38457743616048445	v2= 0.14102561534311867
t= 65.00000000000021	v1= 0.3918891151002536	v2= 0.14324837100309673
t= 65.20000000000022	v1= 0.3989581884831151	v2= 0.14552027032796772
t= 65.40000000000022	v1= 0.4057950684566646	v2= 0.14783493219969188
t= 65.60000000000022	v1= 0.412409638182123	v2= 0.1501864144967806
t= 65.80000000000022	v1= 0.41881128091619213	v2= 0.1525691873534209
t= 66.00000000000023	v1= 0.42500890744398884	v2= 0.15497810798946915
t= 66.20000000000022	v1= 0.4310109819576021	v2= 0.15740839702013323
t= 66.40000000000022	v1= 0.43682554646937427	v2= 0.15985561615943336
t= 66.60000000000022	v1= 0.4424602438438796	v2= 0.1623156472364983
t= 66.80000000000022	v1= 0.44792233952774035	v2= 0.16478467244843412
t= 67.00000000000023	v1= 0.45321874205186585	v2= 0.16725915577791187
t= 67.20000000000023	v1= 0.4583560223764091	v2= 0.16973582550777655
t= 67.40000000000023	v1= 0.4633404321446898	v2= 0.17221165776889436
t= 67.60000000000024	v1= 0.4681779209085219	v2= 0.17468386106114492
t= 67.80000000000024	v1= 0.47287415238379277	v2= 0.17714986169094138
t= 68.00000000000024	v1= 0.47743451979175433	v2= 0.1796072900719367
t= 68.20000000000024	v1= 0.48186416033829915	v2= 0.18205396783866104
t= 68.40000000000025	v1= 0.48616796888048674	v2= 0.18448789572574303
t= 68.60000000000025	v1= 0.4903506108267539	v2= 0.18690724216810845
t= 68.80000000000024	v1= 0.49441653431457244	v2= 0.18931033258013122
t= 69.00000000000024	v1= 0.49836998170680263	v2= 0.1916956392741451
t= 69.20000000000024	v1= 0.5022150004456202	v2= 0.1940617719810162
t= 69.40000000000025	v1= 0.5059554533006592	v2= 0.1964074689376372
t= 69.60000000000025	v1= 0.5095950280459097	v2= 0.19873158850823816
t= 69.80000000000025	v1= 0.5131372465979235	v2= 0.20103310130832813
t= 70.00000000000026	v1= 0.5165854736460098	v2= 0.20331108280188667
t= 70.20000000000026	v1= 0.5179775498033444	v2= 0.20550972702145964
t= 70.40000000000026	v1= 0.515435835641319	v2= 0.20753509345237517
t= 70.60000000000026	v1= 0.5091105133269824	v2= 0.2093212139018864
t= 70.80000000000027	v1= 0.49914463621929966	v2= 0.21080744436873913
t= 71.00000000000027	v1= 0.48567450940913665	v2= 0.211938127552652
t= 71.20000000000027	v1= 0.4707954239215859	v2= 0.21271725476150927
t= 71.40000000000028	v1= 0.4565119594641412	v2= 0.21319141397882607
t= 71.60000000000026	v1= 0.44279501017509765	v2= 0.2133833961437095
t= 71.80000000000027	v1= 0.42961704412318785	v2= 0.2133145735660994
t= 72.00000000000027	v1= 0.41695201461668924	v2= 0.2130049838375691
t= 72.20000000000027	v1= 0.40477527658659324	v2= 0.21247340886025437
t= 72.40000000000028	v1= 0.39306350775198307	v2= 0.21173744927634772
t= 72.60000000000028	v1= 0.3817946342925866	v2= 0.21081359456428606
t= 72.80000000000028	v1= 0.37094776076931785	v2= 0.20971728905239256
t= 73.00000000000028	v1= 0.3605031040485572	v2= 0.20846299408625205
t= 73.20000000000029	v1= 0.35044193099999205	v2= 0.2070642465724546
t= 73.40000000000029	v1= 0.3407464997511033	v2= 0.20553371410848426
t= 73.60000000000029	v1= 0.3314000042938797	v2= 0.20388324689641368
t= 73.8000000000003	v1= 0.3223865222511185	v2= 0.20212392662664902
t= 74.0000000000003	v1= 0.31369096562076976	v2= 0.20026611250721177
t= 74.20000000000029	v1= 0.3052990343272382	v2= 0.1983194846039073
t= 74.40000000000029	v1= 0.2971971724184123	v2= 0.19629308464717796
t= 74.60000000000029	v1= 0.2893725267564766	v2= 0.1941953544524377
t= 74.8000000000003	v1= 0.28181290805931475	v2= 0.19203417209220483
