RC circuit simulation with RK4 :************************************************
t= 0.0	v1= 0.0	v2= 0.0
t= 48.20000000000006	v1= 0.48039429006589945	v2= 0.17868993165115013
t= 48.40000000000006	v1= 0.4846907940911346	v2= 0.18114415408166104
t= 48.600000000000065	v1= 0.4888668066841713	v2= 0.18358519179740576
t= 48.80000000000007	v1= 0.492926776483334	v2= 0.18601124318070053
t= 49.00000000000007	v1= 0.49687494389092274	v2= 0.1884206624342646
t= 49.20000000000007	v1= 0.5007153521947062	v2= 0.19081194949764843
t= 49.40000000000007	v1= 0.5044518580615758	v2= 0.19318374057094706
t= 49.60000000000007	v1= 0.5080881414395362	v2= 0.1955347992100321
t= 49.800000000000075	v1= 0.5116277149021073	v2= 0.1978640079596254
t= 50.00000000000008	v1= 0.5150739324672357	v2= 0.20017036049250744
t= 50.20000000000008	v1= 0.51646462292095	v2= 0.20243575422500823
t= 50.400000000000084	v1= 0.5139228602204439	v2= 0.20460085577411563
t= 50.60000000000008	v1= 0.5076001773131242	v2= 0.20659398757716627
t= 50.80000000000008	v1= 0.4976408158771239	v2= 0.20834918206500497
t= 51.000000000000085	v1= 0.484182120617262	v2= 0.20980581867803988
t= 51.20000000000009	v1= 0.46932028619648347	v2= 0.21092548262678723
t= 51.40000000000009	v1= 0.4550599455473161	v2= 0.21171577172500167
t= 51.600000000000094	v1= 0.44137129446943335	v2= 0.21220110174420515
t= 51.8000000000001	v1= 0.4282261611783069	v2= 0.21240436274040117
t= 52.00000000000009	v1= 0.41559791327350787	v2= 0.21234700997292189
t= 52.200000000000095	v1= 0.4034613700851782	v2= 0.2120491494869435
t= 52.4000000000001	v1= 0.39179272008621574	v2= 0.21152961867129758
t= 52.6000000000001	v1= 0.38056944307590074	v2= 0.21080606208503855
t= 52.800000000000104	v1= 0.3697702368578155	v2= 0.2098950028291194
t= 53.00000000000011	v1= 0.35937494815103815	v2= 0.20881190972341532
t= 53.2000000000001	v1= 0.3493645074887774	v2= 0.20757126053416206
t= 53.400000000000105	v1= 0.33972086787292255	v2= 0.2061866014825869
t= 53.60000000000011	v1= 0.33042694696645153	v2= 0.20467060325205352
t= 53.80000000000011	v1= 0.3214665726183279	v2= 0.20303511369836952
t= 54.000000000000114	v1= 0.31282443152746625	v2= 0.20129120745597215
t= 54.20000000000012	v1= 0.3044860208635974	v2= 0.199449232621468
t= 54.40000000000012	v1= 0.29643760267346186	v2= 0.19751885468542
t= 54.600000000000115	v1= 0.28866616091074193	v2= 0.1955090978733071
t= 54.80000000000012	v1= 0.2811593609375399	v2= 0.19342838404719653
t= 55.00000000000012	v1= 0.2739055113540644	v2= 0.19128456931082863
t= 55.200000000000124	v1= 0.2668935280215214	v2= 0.1890849784524912
t= 55.40000000000013	v1= 0.2601129001510595	v2= 0.18683643735222014
t= 55.60000000000013	v1= 0.25355365833901244	v2= 0.18454530347248163
t= 55.80000000000013	v1= 0.2472063444356462	v2= 0.18221749454453934
t= 56.00000000000013	v1= 0.24106198314117594	v2= 0.17985851555616253
